Date;Open;High;Low;Close;Adj Close;Volume
09/11/2022;30.100.000;31.490.000;29.219.999;29.879.999;29.879.999;5736900
10/11/2022;29.520.000;29.770.000;28.430.000;28.900.000;28.900.000;3504100
11/11/2022;29.049.999;32.000.000;29.049.999;31.879.999;31.879.999;4931100
14/11/2022;32.320.000;32.320.000;30.920.000;31.150.000;31.150.000;2303000
16/11/2022;31.150.000;31.209.999;29.299.999;30.160.000;30.160.000;3208100
17/11/2022;29.709.999;29.780.001;28.830.000;29.670.000;29.670.000;2236200
18/11/2022;30.160.000;30.230.000;29.100.000;29.299.999;29.299.999;1552400
21/11/2022;29.620.001;29.670.000;28.500.000;29.469.999;29.469.999;1563100
22/11/2022;29.590.000;30.139.999;28.950.001;29.309.999;29.309.999;1451900
23/11/2022;29.120.001;29.740.000;28.530.001;29.120.001;29.120.001;1447300
24/11/2022;29.430.000;29.719.999;29.059.999;29.270.000;29.270.000;1240000
25/11/2022;29.100.000;29.719.999;28.790.001;28.959.999;28.959.999;1547600
28/11/2022;28.830.000;28.950.001;28.250.000;28.660.000;28.660.000;1057500
29/11/2022;28.820.000;29.840.000;28.680.000;29.200.001;29.200.001;1168900
30/11/2022;29.320.000;29.320.000;28.139.999;28.139.999;28.139.999;4215600
01/12/2022;28.010.000;28.290.001;27.410.000;27.780.001;27.780.001;2061900
02/12/2022;27.889.999;28.610.001;27.670.000;28.030.001;28.030.001;2223200
05/12/2022;27.540.001;28.230.000;26.740.000;26.790.001;26.790.001;3453600
06/12/2022;26.959.999;27.240.000;26.510.000;26.590.000;26.590.000;2064600
07/12/2022;26.650.000;26.799.999;25.980.000;26.070.000;26.070.000;2520400
08/12/2022;25.980.000;26.110.001;24.840.000;24.840.000;24.840.000;3792200
09/12/2022;25.049.999;25.379.999;24.620.001;25.080.000;25.080.000;2132600
12/12/2022;25.170.000;25.600.000;24.299.999;24.959.999;24.959.999;2375900
13/12/2022;25.129.999;25.900.000;24.900.000;25.330.000;25.330.000;2489400
14/12/2022;25.139.999;25.420.000;24.480.000;25.200.001;25.200.001;2339500
15/12/2022;25.100.000;25.100.000;23.940.001;23.990.000;23.990.000;4305000
16/12/2022;23.930.000;23.930.000;22.559.999;22.559.999;22.559.999;6426400
19/12/2022;22.830.000;23.030.001;22.230.000;22.469.999;22.469.999;2274000
20/12/2022;22.420.000;23.980.000;22.219.999;23.440.001;23.440.001;3125700
21/12/2022;23.740.000;24.080.000;23.469.999;23.570.000;23.570.000;1616400
22/12/2022;23.660.000;23.660.000;22.700.001;23.100.000;23.100.000;1878100
23/12/2022;23.190.001;23.830.000;23.180.000;23.750.000;23.750.000;1737700
26/12/2022;23.840.000;23.959.999;23.200.001;23.290.001;23.290.001;833600
27/12/2022;23.389.999;23.950.001;23.209.999;23.930.000;23.930.000;1507300
28/12/2022;24.030.001;24.480.000;23.900.000;24.010.000;24.010.000;1742700
29/12/2022;24.150.000;24.920.000;23.760.000;23.760.000;23.760.000;2765100
02/01/2023;23.860.001;23.860.001;22.889.999;23.219.999;23.219.999;1345700
03/01/2023;23.139.999;23.799.999;22.450.001;22.459.999;22.459.999;3033700
04/01/2023;22.549.999;22.900.000;22.330.000;22.410.000;22.410.000;2553200
05/01/2023;22.600.000;23.330.000;22.059.999;23.090.000;23.090.000;2609800
06/01/2023;23.180.000;23.700.001;23.040.001;23.230.000;23.230.000;2042100
09/01/2023;23.020.000;23.700.001;22.700.001;23.389.999;23.389.999;2023200
10/01/2023;23.299.999;23.299.999;22.840.000;23.049.999;23.049.999;1936300
11/01/2023;23.139.999;23.889.999;22.860.001;23.760.000;23.760.000;2572500
12/01/2023;23.760.000;24.330.000;23.340.000;23.910.000;23.910.000;2680000
13/01/2023;23.700.001;23.740.000;23.059.999;23.379.999;23.379.999;1908200
16/01/2023;23.450.001;23.590.000;22.350.000;22.520.000;22.520.000;1962800
17/01/2023;22.600.000;23.150.000;22.360.001;22.959.999;22.959.999;2520300
18/01/2023;23.200.001;23.340.000;22.530.001;22.580.000;22.580.000;5225700
19/01/2023;22.500.000;22.580.000;21.950.001;21.950.001;21.950.001;4029400
20/01/2023;21.889.999;21.889.999;21.309.999;21.459.999;21.459.999;4968500
23/01/2023;21.500.000;22.280.001;21.410.000;21.660.000;21.660.000;6811100
24/01/2023;21.660.000;23.010.000;21.500.000;22.889.999;22.889.999;3750600
25/01/2023;22.879.999;23.500.000;22.559.999;22.650.000;22.650.000;2894600
26/01/2023;22.650.000;22.950.001;22.360.001;22.730.000;22.730.000;2942400
27/01/2023;22.510.000;23.190.001;22.270.000;22.900.000;22.900.000;3110200
30/01/2023;22.990.000;23.430.000;22.650.000;22.719.999;22.719.999;2082500
31/01/2023;22.719.999;23.480.000;22.650.000;23.330.000;23.330.000;2586000
01/02/2023;23.299.999;23.870.001;23.170.000;23.799.999;23.799.999;2049300
02/02/2023;23.670.000;23.950.001;22.450.001;22.450.001;22.450.001;2993500
03/02/2023;22.420.000;22.799.999;21.980.000;22.020.000;22.020.000;2855700
06/02/2023;22.010.000;22.180.000;21.629.999;21.990.000;21.990.000;2237100
07/02/2023;22.040.001;22.430.000;21.770.000;22.129.999;22.129.999;2703300
08/02/2023;22.290.001;22.650.000;21.809.999;22.540.001;22.540.001;2783200
09/02/2023;22.540.001;22.620.001;22.049.999;22.160.000;22.160.000;4280100
10/02/2023;22.000.000;22.290.001;21.740.000;22.049.999;22.049.999;4013400
13/02/2023;22.180.000;22.190.001;21.570.000;21.709.999;21.709.999;2320000
14/02/2023;21.780.001;21.780.001;20.629.999;20.629.999;20.629.999;6413400
15/02/2023;20.600.000;20.860.001;20.139.999;20.490.000;20.490.000;3725300
16/02/2023;20.400.000;20.620.001;20.120.001;20.299.999;20.299.999;3154700
17/02/2023;20.230.000;20.309.999;20.010.000;20.059.999;20.059.999;2810800
22/02/2023;20.059.999;20.100.000;19.530.001;19.840.000;19.840.000;2253300
23/02/2023;19.850.000;20.270.000;19.700.001;20.129.999;20.129.999;2677800
24/02/2023;20.040.001;20.160.000;19.780.001;19.870.001;19.870.001;2594700
27/02/2023;19.870.001;20.230.000;19.559.999;19.860.001;19.860.001;3815900
28/02/2023;19.980.000;20.559.999;19.760.000;20.120.001;20.120.001;33109800
01/03/2023;20.120.001;20.480.000;19.080.000;19.750.000;19.750.000;4660300
02/03/2023;19.660.000;20.549.999;19.450.001;20.469.999;20.469.999;3911900
03/03/2023;20.510.000;21.410.000;20.340.000;20.440.001;20.440.001;3254200
06/03/2023;20.459.999;21.020.000;20.260.000;20.680.000;20.680.000;1755700
07/03/2023;20.440.001;21.090.000;19.900.000;20.430.000;20.430.000;3961300
08/03/2023;20.459.999;21.030.001;20.330.000;20.680.000;20.680.000;2709000
09/03/2023;20.459.999;20.930.000;20.320.000;20.500.000;20.500.000;2925200
10/03/2023;20.320.000;20.320.000;19.350.000;19.379.999;19.379.999;4683900
13/03/2023;19.010.000;19.299.999;18.719.999;18.930.000;18.930.000;3073900
14/03/2023;18.940.001;19.059.999;18.410.000;18.480.000;18.480.000;2729200
15/03/2023;18.290.001;18.549.999;18.080.000;18.350.000;18.350.000;2418500
16/03/2023;18.360.001;18.580.000;18.080.000;18.420.000;18.420.000;2379800
17/03/2023;18.330.000;19.150.000;17.910.000;18.910.000;18.910.000;6708100
20/03/2023;18.750.000;18.860.001;18.030.001;18.260.000;18.260.000;3187500
21/03/2023;18.330.000;18.559.999;18.139.999;18.160.000;18.160.000;2242000
22/03/2023;18.200.001;18.450.001;17.500.000;17.500.000;17.500.000;3367700
23/03/2023;16.799.999;17.420.000;16.500.000;16.639.999;16.639.999;5526300
24/03/2023;16.610.001;18.219.999;16.469.999;17.860.001;17.860.001;5856300
27/03/2023;18.000.000;18.700.001;17.900.000;18.559.999;18.559.999;4049600
28/03/2023;18.700.001;20.049.999;18.700.001;19.629.999;19.629.999;5402500
29/03/2023;19.709.999;20.000.000;19.070.000;19.340.000;19.340.000;3495600
